City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Karratha,AU,84.16,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
292,Santo Antonio,BR,85.96,broken clouds,-6.3106,-35.4789,Hotel Onça Puma
293,Hobyo,SO,77.02,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
298,Narasannapeta,IN,72.05,clear sky,18.4167,84.05,G.lingaraju home
300,Puerto Cabezas,NI,84.25,few clouds,14.0351,-83.3888,Cabaña Caribe
301,Jose De Freitas,BR,88.75,overcast clouds,-4.7564,-42.5756,É Antônio de Souza construção
303,Ngunguru,NZ,71.17,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
306,Acarau,BR,84.34,moderate rain,-2.8856,-40.12,castelo pizzaria
307,Alta Floresta,BR,85.48,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
312,Monrovia,LR,85.77,clear sky,6.3005,-10.7969,Sunset Inn
313,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
314,Souillac,MU,80.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
315,Sampit,ID,73.62,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
316,San Policarpo,PH,76.8,overcast clouds,12.1791,125.5072,Agapita M. Nicart
322,Kalianget,ID,78.55,broken clouds,-7.05,113.9333,Pesanggrahan Garam
323,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
324,Tabou,CI,82.45,broken clouds,4.423,-7.3528,hotêl doufoulougou
328,Lima,PE,76.39,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
329,Alofi,NU,78.62,overcast clouds,-19.0595,-169.9187,Taloa Heights
330,Robertsport,LR,81.46,few clouds,6.7533,-11.3686,Kwepunha Retreat
333,Boa Vista,BR,89.58,light rain,2.8197,-60.6733,Aipana Plaza Hotel
338,Pitimbu,BR,86.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
340,Maracaju,BR,89.62,overcast clouds,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
341,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
349,Bandarbeyla,SO,75.74,clear sky,9.4942,50.8122,JABIR HOTEL
350,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
353,Kieta,PG,81.36,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
355,Saint-Pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
360,Sulangan,PH,77.45,overcast clouds,11.1373,123.7228,Maia's Beach Resort
365,Axim,GH,81.48,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
374,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
375,Carutapera,BR,81.54,overcast clouds,-1.195,-46.02,Lidera
383,Shakawe,BW,73.17,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
385,Waingapu,ID,78.3,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
